term,estimate,std_error,t_value,p_value,ci_low_95,ci_high_95
(Intercept),-0.016969035943933144,2.1556554357687427e-4,-78.71868417543132,1.978023194611714e-309,-0.0173924309623281,-0.016545640925538188
Ability,3.5701412162257606e-4,4.713300695788529e-6,75.74609486332551,1.0886074801314187e-300,3.4775666794198504e-4,3.662715753031671e-4
I(Ability^2),-1.8406441973594667e-6,2.5197848574501638e-8,-73.04767277719347,1.6522363452740256e-292,-1.890135611356759e-6,-1.7911527833621744e-6
log1p(params_num),3.841743782120838e-5,5.431870490909832e-6,7.072598267116178,4.448738836131531e-12,2.77486320916061e-5,4.908624355081066e-5
model_typeinstruction_or_chat,1.7220185413125033e-5,9.493508480228804e-6,1.813890559953448,0.07021750296626635,-1.426135009534361e-6,3.586650583578443e-5
model_typemerge_or_moe,3.707823670604476e-5,1.451481198303517e-5,2.5545102995051945,0.010891156513904923,8.569510382791181e-6,6.558696302929833e-5
